artist,album,track,uri
Maggie Lindemann,Pretty Girl,Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9
nilu,Are You With Me,Are You With Me,2NTww3JSBHpySR2plYyAd6
Jeremy Zucker,love is not dying,comethru (bonus track),1pV9TLnQdOHbvourRO7x4m
Alexander Stewart,blame's on me,blame's on me,1veHwv1HPwzOvlhs5jPxeP
Anson Seabra,Feeling For My Life,Magazines,3Amht3EpGYKEYZkafAwibf
Dylan Conrique,birthday cake,birthday cake,7dDrR6vMK1JAwZZ5MIWgme
Vancouver Sleep Clinic,Revival,Someone To Stay,2xlV2CuWgpPyE9e0GquKDN
Finding Hope,Apollo 19,Nightlight,73LdhMZm8CrXJEi2wm6um3
Sleeping At Last,"Covers, Vol. 2",Chasing Cars,2d7LPtieXdIYzf7yHPooWd
Julie and the Phantoms Cast,Julie and the Phantoms: Season 1 (From the Netflix Original Series),Unsaid Emily (feat. Charlie Gillespie),2vEDOWuYM6r2LO9HXI47F1
Tate McRae,you broke me first,you broke me first,45bE4HXI0AwGZXfZtMp8JR
Zac Efron,The Greatest Showman (Original Motion Picture Soundtrack),Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq
Genevieve Stokes,Habits,Habits,4UGvqm3e7UElrrriPtnhwz
Zoe Wees,Control,Control,50Td3qilgs8BLtv8mHyT1t
Sofía Reyes,Mal De Amores,Marte,1uK5rDY3BnikyG0sl3tPpc
Manuel Medrano,Manuel Medrano,Bajo El Agua,5QSYWruQQ7kBCHScI4xJ9g
Anson Seabra,"It's Raining, It's Pouring","It's Raining, It's Pouring",0dhw2WjJZBsbBDv0Ipdgbw
James Arthur,Car's Outside,Car's Outside - Acoustic,0FJlNZyxbicLmzOvNl8PJs
Isak Danielson,Yours,Always,2bdCO4UTMX1ennK2I4rFpD
P!nk,The Truth About Love,Try,1jF7IL57ayN4Ity3jQqGu0
Jeremy Zucker,brent,scared,6r2JV75tE0vNgNCv4HKsBC
Bohnes,Middle Finger - Single,Middle Finger,0IK8y0vAO0sM630HsxwLht
Mau y Ricky,Para Aventuras y Curiosidades,Perdóname,4mivRZXyZbIDecPTiCtOjw
Madison Beer,Selfish,Selfish,4PV0uE5pZSh44E3NqNNDEH
Anson Seabra,Feeling For My Life,Lucky Charms,1Cwg5W2pW4aDvgUnb0PAvL
Rosa Linn,SNAP,SNAP,0QPRDC97rIQB3Jh3hrVJoH
AJ Mitchell,SKYVIEW,Used to Be,6Vt5LdwSUvbcDfWThqnBK5
Benson Boone,In The Stars,In The Stars,1ei3hzQmrgealgRKFxIcWn
Anson Seabra,Walked Through Hell,Walked Through Hell,6c7N5N7amAOpeMykjlovjI
New West,Those Eyes Alternate Versions,Those Eyes - Slowed + Reverb,1Hc41dCVvSlMml3mtDiyy1
James Smith,Tell Me That You Love Me,Tell Me That You Love Me,2wHA4yJKT8TJhGz20QxUqX
Lord Huron,Strange Trails,The Night We Met,3hRV0jL3vUpRrcy398teAU
Lexi Jayde,closer to closure,you don't deserve these tears,3ZuCT3RWkGCu5DyIYG6u1D
Jasmine Thompson,Will Follow You Into the Dark,Will Follow You Into the Dark,3A31Rer0lC31LUGxQwmO8V
BANNERS,Someone To You,Someone To You - Acoustic,6uhk9SHuaSqlvG2Dt3Ncnk
grentperez,Cherry Wine,Cherry Wine,1a1LrfgkTvfHFykIxcv8WU
Anson Seabra,Come Close,Come Close,10LSITr9KpQs2uCh7g2QQh
WALK THE MOON,What If Nothing,Lost In The Wild,0M1A9wInEHilyWkh4I8tWo
David Kushner,Daylight,Daylight,1odExI7RdWc4BT515LTAwj
Anson Seabra,Welcome to Wonderland,Welcome to Wonderland,3JfHYZKy5JmE5Fv4gDTCiz
Sleeping At Last,"July 22, 2020: C / 2020 F3 - Comet Neowise","July 22, 2020: C / 2020 F3 - Comet Neowise",7e83nqqtB1j71YhPVkqWXf
Sara Kays,Remember That Night?,Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7
5 Seconds of Summer,CALM,Lover Of Mine,4CufDREo1dO9TL7txA5SGA
ROSIE,Never the 1,Never the 1,3gk96wClxx6rbSOpxXUc5O
Birdy,Beautiful Lies,Deep End,555CH6CnGJRqO37pqA30vW
Sara Kays,Chosen Last,Chosen Last,3NDgV66iYYySIgo5RSvQ5d
Tyrese Pope,Not a Love Song,Not a Love Song,7c7eehhS6b19w6rEeuLhD6
Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX
Sadie Jean,Locksmith,Locksmith,4HcARAxzsbIB3MqiEkejM6
Clinton Kane,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,1is8gU4RVcN4J8xItxWoOY
Reik,Des/Amor,Ya Me Enteré,0lPXFrKyl8HkdQ2E6NmNja
5 Seconds of Summer,Youngblood,Ghost Of You,1MhXdlCQPnO56T57MfmaRm
Patrick Watson,Je te laisserai des mots,Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS
Andy Grammer,Naive,"Don't Give Up On Me - (From ""Five Feet Apart"")",5A3fPy30SN2wuzrahpcxvV
New West,Those Eyes,Those Eyes,2GThBgzZoZfz0lx1JjBwfe
M83,"Hurry up, We're Dreaming",Wait,01Q3OyB05mLgH01fpdAMPP
Alexander Stewart,echo,echo,4rdIhBrlaAOPnlTlugZBgz
Kodaline,Politics of Living,Brother,65gLJGey4u4KFFqoC5fzFJ
Beret,Vuelve,Vuelve,3jMwSd2zqGOwJStCatpjAr
Cole Norton,Perfect,Perfect,5yWL57uHx9aincW0l7px7p
Matt Landi,"Oh Man, What a View!","Oh Man, What a View!",2b5zQzxVQUVacZKGkpw59z
BANNERS,Shine A Light,Shine A Light,1fDtoTPDyzkNOfFIRXxsC5
Matthew Mole,Run,Running After You,6cRkm1iHWDYpkQanPyLqwn
Alexander 23,IDK You Yet,IDK You Yet,47EWMOElkkbMp5m9SBkx7d
Isak Danielson,Yours,Broken,4oLLl2b0pZ5Ksp4SWISJyx
Aquilo,Silhouettes,Sorry,6MXJdqTuSDXkG21JHWiGko
Sam Fischer,This City,This City,3H3r2nKWa3Yk5gt8xgmsEt
Forest Blakk,If You Love Her,If You Love Her,727Z2S2mtNH46CbP9EWPwY
We Three,We're All Messed up - but It's Ok,Sara,0zSemnpoUFdtesuHTZ3ifv
Tate McRae,all the things i never said,that way,7l97ElWmIdVHWUaOeeU5ZC
Sabrina Carpenter,Skin,Skin,03B2SfXuvDh1m9F4tqrX07
Juan Magán,"Rápido, Brusco, Violento","Rápido, Brusco, Violento",63HbvWprv2Mhu63x0nMmLH
JVKE,this is what ____ feels like (Vol. 1-4),golden hour,0e5UZadoZ5me957hKsxRYh
Niall Horan,This Town,This Town,5nA67Y0XX9JipZwYxX7Gl7
Anson Seabra,Songs I Wrote in My Bedroom,When It's Over,4nc2fSP2m3BinlX6j7ZlKK
One Direction,FOUR,18,3JjnGLK8IxkNLvo8Lb3KOM
Ryn Weaver,The Fool,Pierre,2vpVR1L7Qfkd7D6qFNuorq
Tommy Lefroy,Flight Risk EP,Flight Risk,0kAsY8KaG5sM6uwAEt3qyg
Lexi Jayde,closer to closure,drunk text me,5gukv8x9eP58gFy2OcZEBQ
5 Seconds of Summer,5 Seconds Of Summer,Amnesia,0dIOvducp7ujHTqj66cQ3X
Sara Kays,Smaller Than This,Smaller Than This,29A7Zz30FbIbvlnHHaJdIx
Dove Cameron,Descendants,If Only,1mRBJdpIgc3jZH8C3cN2WV
Maddie Zahm,Fat Funny Friend,Fat Funny Friend,4eaSY3ucamesaARYBsLfz2
Ashe,Moral of the Story,Moral of the Story,2nC3QhMI9reBIOWutbU3Tj
Sasha Alex Sloan,Older,Older,52iLDrSoRtf9lcgFuLVfqE
Julie and the Phantoms Cast,Julie and the Phantoms: Season 1 (From the Netflix Original Series),Perfect Harmony (feat. Madison Reyes & Charlie Gillespie),5yeHtAPGAFsfN9baoglUlc
Austin Farwell,I Miss That Time,I Miss That Time,0Knj8ikuaueHZmwMrzxDIt
Astrid S,It's Ok If You Forget Me,It's Ok If You Forget Me,312zSwwbPU7C3sTmro4Wx9
Katy Perry,Teenage Dream: The Complete Confection,Wide Awake,5JLv62qFIS1DR3zGEcApRt
Caleb Hearn,Always Be 2.0,Always Be 2.0,4woCuWKAYc4ernzgJViojh
James TW,Chapters,When You Love Someone,0TXNKTzawI6VgLoA9UauRp
Anson Seabra,Keep Your Head Up Princess,Keep Your Head Up Princess,19pChrR4hwdINqoOFUo2Hj
Stephen Sanchez,Until I Found You,Until I Found You - Piano Version,06vNG6CiV4k8oNA0wUUAO7
Ellie Goulding,Still Falling For You,"Still Falling For You - From ""Bridget Jones's Baby""",3odrUVQ9tvRpkC9II2oWzx
Novo Amor,Faux,Faux,5c3mx1oOkT5ynQ4MpK1ul1
Kygo,Kids in Love,Stranger Things (feat. OneRepublic),4sJqSKPc5fZ5OZ8JiVI44N
Anson Seabra,Broken,Broken,1SoR3NCP3P9dtdoTnpPNi1
Lizzy McAlpine,five seconds flat,ceilings,2L9N0zZnd37dwF0clgxMGI
Novo Amor,Birthplace,State Lines,7CoMBpPTwQi2wPT0U0Nr9b
Aitana,+,+,5Cbo7oz78gqkzV3EAM63VA
Tate McRae,she's all i wanna be,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW
Matthew Mole,Take Yours,Take Yours,6wwu8cc0nP60ha0biRmqGY
Jacob Lee,Clarity,Secrets,5QcXv2olyooZY0D5V1xzhU
Morat,Sobre El Amor Y Sus Efectos Secundarios,Ya No Estás Tú,4vVI1dW2NmwtXfXrYPw6Ct
Gym Class Heroes,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz
Olivia Rodrigo,good 4 u,good 4 u,6PERP62TejQjgHu81OHxgM
JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ
Edward Sharpe & The Magnetic Zeros,Up from Below,Home,7w5cxTEzp1rfV3KCy0Bd5N
Zac Efron,Rewrite The Stars,Rewrite The Stars,630sXRhIcfwr2e4RdNtjKN
Sara Kays,A House Too Big,Rich Boy,6fAF2lOiZ86UNlY1Nth9tW
Avicii,The Days / Nights,The Nights,0ct6r3EGTcMLPtrXHDvVjc
Facemask Time,Heather X a Thousand Years,Heather X a Thousand Years,6fdcFwUFdVX2MI3nWFPRCx
Tai Verdes,A-O-K,A-O-K,4CbrNGvwVjneG8Nk9YQqMR
Ludovico Einaudi,Una Mattina,Nuvole bianche,3aLof1zmaQ0GLcAc9YQ3Fq
James Arthur,Back from the Edge,Train Wreck,55Am8neGJkdj2ADaM3aw5H
Ruelle,I Get to Love You,I Get to Love You,3CV4lFELdziNM1OnHU8nwz
Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,All of the Stars,3SZLtkoHoECHHuOnNkNCuS
Taylor Swift,Hannah Montana The Movie,Crazier,5vyxXfD5gLlyPxGZMEjtmd
Anson Seabra,Peter Pan Was Right,Peter Pan Was Right,2At18rPHOuTEjGEppwGV0A
Alessia Cara,Know-It-All,River Of Tears,3ArYVrRb0lDBLzuJJqIXzC
lovelytheband,finding it hard to smile,broken,6XcfKZvJio9Z0fQy11GnNX
Jeremy Zucker,love is not dying,you were good to me (bonus track),0JnSoyZMTYZLWFVdVT1JFZ
Anson Seabra,Unloving You,Unloving You,2w9nvs1ByWUGkED4M0ug34
MARINA,About Love,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,4XII12nbsvJblXfG1I2QR4
One Direction,Take Me Home: Yearbook Edition,Over Again,4RC5YmcpCbRsX3AtRzoQeh
Lauren Spencer Smith,Flowers,Flowers,6Z165JvPnS8PYvGW8oLGLc
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Hold Me While You Wait,60iSKGrGazRzICtMjADNSM
Selena Gomez,Rare,People You Know,63mdJr3NMY3wReOkNE6c6W
Julia Michaels,Inner Monologue Part 1,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT
Jesse & Joy,Un Besito Más,Ecos De Amor,3lI5dscCDez8cF6LF3Me7F
James Bay,Oh My Messy Mind,Peer Pressure,4RE3vueod5PL48rvHtuu9C
Clara Mae,Not Sad Anymore,Not Sad Anymore,1AHa2iLVTyjMisXwg0oMh1
Ruel,Free Time,Hard Sometimes,0D2xguFRqCF0OUqXCkqrpU
Home,Odyssey,Resonance,65r94rVdiMwqXyQFEr3tqT
Adele,25,Love In The Dark,7B5Npv8NjjTCzk8PLpU66h
Loren Allred,The Greatest Showman (Original Motion Picture Soundtrack),Never Enough,0Gl5s8IhMmQE5YQwM8Qx1J
Lauren Spencer Smith,Fingers Crossed,Fingers Crossed,5S9Zs5g9lTWnLIboN1pdlU
Olivia Rodrigo,drivers license,drivers license,7lPN2DXiMsVn7XUKtOW1CS
Sam Fischer,Dancing With The Devil…The Art of Starting Over,What Other People Say (with Sam Fischer),2tsI8snJhb4BL9zczvlZmL
Selena Gomez,13 Reasons Why,Back To You,514rhnksEwHUh6LxXsQ4Y9
Michael Schulte,Hold the Rhythm,Falling Apart,0aIW3ekrhK1eh3BYCh11op
Oh Wonder,Oh Wonder,White Blood,3sZfQB5uYTJmA4QnB8dv7P
Leyla Blue,What A Shame,What A Shame,7FGIEAVXfegxngH9Jg6VwA
Tom Odell,Long Way Down (Deluxe),Heal,4KlL5Bwlm4yHYxr0B2rHci
pearl,ceilings - sped up + reverb,ceilings - sped up + reverb,0akIVqzM6zzbzZmCXQCp7i
Hailee Steinfeld,Half Written Story,Wrong Direction,5Qsp8mtshe70DX7EYbWZGo
Brenn!,4runner,4runner,1RaF9xwakfao1RRknWyYB5
Olivia Rodrigo,SOUR,favorite crime,5JCoSi02qi3jJeHdZXMmR8
Dean Lewis,A Place We Knew,7 Minutes,6FYbr9QzRoZPh0Re8lDO9z
Haiden,Sorry to Your Next Ex,Sorry to Your Next Ex,3MmSF1hLnAHBrpF4A0fY9d
Selena Gomez,Pop Royalty,Lose You To Love Me,2FeGfLRrUIMwybTplG0AWj
Stephen Sanchez,Until I Found You,Until I Found You,0T5iIrXA4p5GsubkhuBIKV
Lewis Capaldi,Wish You The Best,Wish You The Best,3W5KHP0Yr56ejVDns9vci3
Justin Bieber,Justice,Ghost,6I3mqTwhRpn34SLVafSH7G
